cids	inchi_key
129893891	GFSTXYOTEVLASN-UHFFFAOYSA-N
129894493	VTUYEWRWJTWXPQ-IWWWZYECSA-N
129905275	OHRURASPPZQGQM-WOADUJSRSA-N
130313	FKENQMMABCRJMK-RITPCOANSA-N
130881	UQGKUQLKSCSZGY-UHFFFAOYSA-N
13109	WWYNJERNGUHSAO-XUDSTZEESA-N
131204	SNPLKNRPJHDVJA-ZETCQYMHSA-N
13136	FNAQSUUGMSOBHW-UHFFFAOYSA-H
13138129	DKOQGJHPHLTOJR-CVKSISIWSA-N
131411	KCFYEAOKVJSACF-UHFFFAOYSA-N
13144	MKJXYGKVIBWPFZ-UHFFFAOYSA-L
131536	MLBVMOWEQCZNCC-OEMFJLHTSA-N
131668620	ZVGNESXIJDCBKN-ZJHJTZDTSA-N
131668621	MVTQIFVKRXBCHS-AEERCWFYSA-N
131673845	KXGCNMMJRFDFNR-AWSUJWHHSA-N
131674879	ACTOXUHEUCPTEW-VRCNPYAISA-N
131682	NEMGRZFTLSKBAP-LBPRGKRZSA-N
131704172	MXZROTBGJUUXID-UHFFFAOYSA-K
131704314	PCZHWPSNPWAQNF-LMOVPXPDSA-K
131704316	HBJYDUADMKVTGP-AZCDSDHNSA-N
131704319	BLALCKLYSDDAOC-JWFOFJTQSA-K
131704321	ZKZPXKKVDJOAIS-JWFOFJTQSA-J
131704327	WITRLSOYTCFMKJ-OUMJLSBWSA-K
131709156	LKINEYXELOPLES-AZCDSDHNSA-N
131709229	YSDQQAXHVYUZIW-QFQIIJLQSA-N
131714458	RTXOFQZKPXMALH-LESKNEHBSA-N
131724228	ZFLASALABLFSNM-WYVZQNDMSA-L
131750284	KASDHRXLYQOAKZ-DMVFBPFZSA-N
131750285	KMSKQZKKOZQFFG-CBFOJMSHSA-N
131751496	LQIAZOCLNBBZQK-UHFFFAOYSA-N
131801470	NGJOFQZEYQGZMB-KTKZVXAJSA-N
131801471	WWFDJIVIDXJAQR-FFWSQMGZSA-N
131801472	LONQNVJNDYLYLN-JMQGDYTKSA-N
131839611	JCQLYHFGKNRPGE-DJYZFUSFSA-N
131954608	YZBLFMPOMVTDJY-IRFODQMOSA-N
131954782	MVTQIFVKRXBCHS-YLFSSFPQSA-N
131954786	WGWPRVFKDLAUQJ-SXNQJIFTSA-N
13200033	GBABOYUKABKIAF-JKVZWNDSSA-N
132274070	CBPNZQVSJQDFBE-VYCIWTNRSA-N
132274074	DOAKLVKFURWEDJ-ZSHVEGHUSA-N
132274080	WLOHNSSYAXHWNR-GPSAUHQHSA-N
132274085	WLOHNSSYAXHWNR-FDEBZETHSA-N
132274234	MXDPZUIOZWKRAA-PRDSJKGBSA-K
132285148	MVTQIFVKRXBCHS-YWAQVZITSA-N
132427670	XVVOERDUTLJJHN-UHFFFAOYSA-N
13242839	GTYWGUNQAMYZPF-FAJKJHJLSA-N
132451910	SXYIRMFQILZOAM-ZSLLRAOYSA-N
132472265	ZVGNESXIJDCBKN-JMEUZRPYSA-N
132477936	CEAZRRDELHUEMR-ZMRLYRBASA-N
13270162	KKPUODLFBBWJPH-DKWTVANSSA-L
132935795	WUTYZMFRCNBCHQ-HTLJXXAVSA-N
132965784	LJOQGZACKSYWCH-ROBKBVBWSA-N
132971	GZOSMCIZMLWJML-VJLLXTKPSA-N
132999	ACRHBAYQBXXRTO-OAQYLSRUSA-N
133017	WUZYKBABMWJHDL-UHFFFAOYSA-N
133053818	NCXMLFZGDNKEPB-IWMBIESRSA-N
133124921	VQOXZBDYSJBXMA-CXNMXRRLSA-N
133126830	JXLYSJRDGCGARV-PFZUDZJTSA-N
13313	GVDMJXQHPUYPHP-FYQPLNBISA-N
13314	FJIKWRGCXUCUIG-UHFFFAOYSA-N
133268464	KGPGQDLTDHGEGT-CUIWZYKSSA-N
133268486	BUROJSBIWGDYCN-GAFNQWMWSA-N
13342	JXLYSJRDGCGARV-CFWMRBGOSA-N
13344	QEEAPRPFLLJWCF-UHFFFAOYSA-K
