,sig_id
520,REP.B010_MDAMB231_24H:N19
521,REP.A010_PC3_24H:N21
522,REP.A010_THP1_24H:N22
523,REP.A010_HEK293_24H:N20
524,REP.A010_MCF7_24H:N19
525,REP.B010_JURKAT_24H:N21
526,REP.A010_JURKAT_24H:N24
527,REP.B010_HA1E_24H:N24
528,REP.B010_THP1_24H:N22
529,REP.B010_PC3_24H:N22
530,REP.A010_HELA_24H:N22
531,REP.A010_PC3_24H:N20
532,REP.B010_YAPC_24H:N22
533,REP.B010_MCF7_24H:N21
534,REP.B010_PC3_24H:N20
535,REP.A010_YAPC_24H:N24
536,REP.B010_HT29_24H:N21
537,REP.A010_MCF10A_24H:N23
538,REP.B010_THP1_24H:N20
539,REP.B010_JURKAT_24H:N19
540,REP.B010_HEK293_24H:N24
541,REP.A010_A375_24H:N21
542,REP.A010_MCF7_24H:N23
543,REP.B010_YAPC_24H:N24
544,REP.B010_HT29_24H:N22
545,REP.A010_HT29_24H:N20
546,REP.B010_MCF10A_24H:N20
547,REP.B010_YAPC_24H:N19
548,REP.B010_A375_24H:N22
549,REP.A010_MCF7_24H:N22
550,REP.A010_THP1_24H:N20
551,REP.B010_HT29_24H:N19
552,REP.B010_MDAMB231_24H:N22
553,REP.A010_YAPC_24H:N23
554,REP.B010_HEK293_24H:N19
555,REP.A010_JURKAT_24H:N20
556,REP.A010_A375_24H:N24
557,REP.A010_HEK293_24H:N19
558,REP.B010_A375_24H:N23
559,REP.B010_THP1_24H:N21
560,REP.B010_HELA_24H:N19
561,REP.B010_MDAMB231_24H:N20
562,REP.B010_A375_24H:N20
563,MOAR002_PC3_24H:F01
564,MOAR002_PC3_24H:F03
565,MOAR002_PC3_24H:F02
566,MOAR002_A375_24H:F03
567,MOAR002_A375_24H:F01
568,MOAR002_A375_24H:F02
569,CPD003_MCF7_24H:L13
570,CPD003_PC3_6H:L13
571,CPD003_MCF7_6H:BRD-K77771411-001-08-5:10
572,CPD003_PC3_24H:BRD-K77771411-001-08-5:10
573,CPC011_MCF7_24H:BRD-K77771411-003-08-1:10
574,CPC011_A549_24H:BRD-K77771411-003-08-1:10
575,CPC003_VCAP_24H:BRD-K77771411-003-03-2:10
576,CPC016_A549_6H:BRD-K77771411-003-03-2:10
577,CPC003_HCC515_24H:BRD-K77771411-003-03-2:10
578,CPC016_HT29_6H:BRD-K77771411-003-03-2:10
579,CPC016_NPC_24H:BRD-K77771411-003-03-2:10
580,CPC011_A549_6H:BRD-K77771411-003-08-1:10
581,CPC016_ASC_24H:BRD-K77771411-003-03-2:10
582,CPC003_VCAP_6H:BRD-K77771411-003-03-2:10
583,CPC011_VCAP_24H:BRD-K77771411-003-08-1:10
584,CPC016_NEU_24H:BRD-K77771411-003-03-2:10
585,CPC011_MCF7_6H:BRD-K77771411-003-08-1:10
586,CPC016_MCF7_24H:BRD-K77771411-003-03-2:10
587,CPC011_HT29_6H:BRD-K77771411-003-08-1:10
588,CPC003_PC3_6H:BRD-K77771411-003-03-2:10
589,CPC016_A549_24H:BRD-K77771411-003-03-2:10
590,CPC003_PC3_24H:BRD-K77771411-003-03-2:10
591,CPC011_PC3_24H:BRD-K77771411-003-08-1:10
592,CPC016_SKB_24H:BRD-K77771411-003-03-2:10
593,CPC016_A375_6H:BRD-K77771411-003-03-2:10
594,CPC003_HA1E_6H:BRD-K77771411-003-03-2:10
595,CPC003_HCC515_6H:BRD-K77771411-003-03-2:10
596,CPC011_A375_6H:BRD-K77771411-003-08-1:10
597,CPC016_MCF7_6H:BRD-K77771411-003-03-2:10
598,CPC011_HA1E_6H:BRD-K77771411-003-08-1:10
599,CPC003_HA1E_24H:BRD-K77771411-003-03-2:10
600,CPC011_PC3_6H:BRD-K77771411-003-08-1:10
601,CPC016_HEPG2_6H:BRD-K77771411-003-03-2:10
602,CPC011_VCAP_6H:BRD-K77771411-003-08-1:10
603,ISO002_MCF10A.WTLP_24H:B17
604,ISO002_HCT116.WT_24H:B18
605,ISO002_MCF10A.TP53.M_24H:B14
606,ISO002_MCF10A.TP53.M_24H:B13
607,ISO002_MCF10A.TP53.M_24H:B18
608,ISO002_MCF10A.WTLP_24H:B15
609,ISO002_MCF10A.TP53.M.KRAS.HG_24H:B15
610,ISO002_MCF10A.TP53.M.EGFR.HL_24H:B17
611,ISO002_HCT116.TP53.M_24H:B13
612,ISO002_MCF10A.KRAS.HG_24H:B14
613,ISO002_MCF10A.TP53.M_24H:B15
614,ISO002_MCF10A.EGFR.HL_24H:B17
615,ISO002_MCF10A.TP53.M.KRAS.HG_24H:B16
616,ISO002_MCF10A.TP53.M.KRAS.HG_24H:B13
617,ISO002_MCF10A.TP53.M.KRAS.HG_24H:B17
618,ISO002_MCF10A.BRCA1.HD_24H:B15
619,ISO002_MCF10A.BRCA1.HD_24H:B17
620,ISO002_MCF10A.TP53.M.EGFR.HL_24H:B13
621,ISO002_MCF10A.TP53.M_24H:B17
622,ISO002_MCF10A.TP53.M.KRAS.HG_24H:B18
623,ISO002_MCF10A.BRCA1.HD_24H:B18
624,ISO002_HCT116.TP53.HR_24H:B17
625,ISO002_HCT116.TP53.M_24H:B17
626,ISO002_MCF10A.EGFR.HL_24H:B13
627,ISO002_HCT116.TP53.M_24H:B14
628,ISO002_MCF10A.KRAS.HG_24H:B13
629,ISO002_MCF10A.BRCA1.HD_24H:B14
630,ISO002_MCF10A.WTLP_24H:B14
631,ISO002_HCT116.WT_24H:B15
632,ISO002_HCT116.TP53.HR_24H:B14
633,ISO002_MCF10A.EGFR.HL_24H:B18
634,ISO002_HCT116.WT_24H:B13
635,ISO002_MCF10A.BRCA1.HD_24H:B16
636,ISO002_MCF10A.WTLP_24H:B16
637,ISO002_MCF10A.TP53.M_24H:B16
638,ISO002_HCT116.WT_24H:B17
639,ISO002_HCT116.TP53.M_24H:B18
640,ISO002_MCF10A.TP53.M.EGFR.HL_24H:B15
641,ISO002_MCF10A.BRCA1.HD_24H:B13
642,ISO002_MCF10A.TP53.M.EGFR.HL_24H:B18
