,sig_id
193,DOSBIO001_A549_24H:BRD-K81418486:3.33333
194,RAD001_A549_6H:BRD-K81418486-001-18-6:0.1235
195,HOG001_A549_6H:BRD-K81418486-001-32-7:0.1235
196,CEGS002_HIMG002_24H:C21
197,HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.0045
198,HOG003_A549_6H:BRD-K81418486-001-32-7:0.0412
199,DOSBIO002_HT29_24H:BRD-K81418486:10
200,DTAK003_VCAP_24H:BRD-K81418486:10
201,LTC001_HME1_3H:BRD-K81418486:0.37037
202,CEGS001_NPC.170_24H:C20
203,HOG002_MCF7_6H:BRD-K81418486-001-32-7:3.33
204,HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.3704
205,HDAC002_HA1E_24H:BRD-K81418486-001-10-3:0.15625
206,KMS002_NOMO1_24H:B05
207,DOSBIO002_A549_24H:BRD-K81418486:3.33333
208,POL001_HT29_24H:O06
209,CPD002_MCF7_6H:BRD-K81418486:10
210,CEGS001_NPC.170_24H:C21
211,POL001_HT29_24H:O04
212,CEGS001_NPC.177_24H:C21
213,DEB001_PC3_24H:BRD-K81418486-001-24-4:1
214,LTC005_MDAMB231_3H:BRD-K81418486:1.1111
215,HDAC002_MCF7_6H:BRD-K81418486-001-24-4:10
216,LTC004_HME1_24H:BRD-K81418486:3.3333
217,DOSBIO002_NEU_24H:BRD-K81418486:1.11111
218,HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.1235
219,TAA001_SKNSH_24H:C21
220,HOG002_A549_6H:BRD-K81418486-001-32-7:0.013
221,DOSBIO002_PC3_24H:BRD-K81418486:10
222,HOG001_A549_24H:BRD-K81418486-001-32-7:0.013
223,NMH002_NEU_6H:BRD-K81418486-001-29-3:10
224,HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.0412
225,MOA001_A549_24H:P11
226,CVD001_PHH_6H:BRD-K81418486:10
227,HDAC002_HA1E_6H:BRD-K81418486-001-10-3:2.5
228,CEGS001_NPC.170_24H:C22
229,ABY001_PC3_XH:BRD-K81418486:10:24
230,LTC005_MDAMB231_24H:BRD-K81418486:0.12346
231,HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.0012207
232,HOG001_A549_6H:BRD-K81418486-001-32-7:1.11
233,HDAC001_PC3_24H:BRD-K81418486:10
234,CEGS001_NPC.179_24H:C23
235,CPD002_PC3_24H:BRD-K81418486:10
236,RAD001_A549_6H:BRD-K81418486-001-18-6:3.3333
237,LTC004_HME1_24H:BRD-K81418486:0.37037
238,HDAC002_MCF7_6H:BRD-K81418486-001-10-3:0.00976562
239,HDAC001_MCF7_24H:BRD-K81418486:10
240,POL001_MCF7_24H:O01
241,CEGS001_NPC.177_24H:C22
242,BRAF001_HEK293T_6H:BRD-K81418486-001-15-2:0.625
243,CPD002_PC3_6H:BRD-K81418486:10
244,LPROT001_PC3_6H:BRD-K81418486:1
245,ABY001_NCIH596_XH:BRD-K81418486:2.5:24
246,ABY001_HT29_XH:BRD-K81418486:0.625:3
247,HDAC002_MCF7_24H:BRD-K81418486-001-10-3:2.5
248,DOSBIO001_PC3_24H:BRD-K81418486:0.37037
249,DOSBIO002_HT29_24H:BRD-K81418486:0.37037
250,LTC001_HME1_3H:BRD-K81418486:1.1111
251,DOSBIO001_HT29_24H:BRD-K81418486:10
252,LCP001_MCF10A.WT_3H:N24
253,KMS002_NOMO1_24H:B10
254,LPROT005_PC3_6H:BRD-K81418486:1
255,LTC008_MDAMB231_3H:BRD-K81418486:0.37037
256,LTC006_MDAMB231_24H:BRD-K81418486:0.12346
257,BRAF001_A375_24H:BRD-K81418486-001-15-2:10
258,DOSBIO001_MCF7_24H:BRD-K81418486:0.37037
259,CEGS001_NPC.8330_24H:C24
260,KMS002_NOMO1_24H:B06
261,LTC002_HME1_3H:BRD-K81418486:3.3333
262,LTC004_HME1_3H:BRD-K81418486:10
263,HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.0015
264,HOG003_A549_24H:BRD-K81418486-001-32-7:0.013
265,POL001_MCF7_24H:O02
266,NMH002_NPC_24H:BRD-K81418486-001-29-3:10
267,RAD001_HCC515_6H:BRD-K81418486-001-18-6:1.1111
268,TAA001_SHSY5Y_24H:C22
269,LTC003_HME1_3H:BRD-K81418486:3.3333
270,LPROT002_A549_6H:BRD-K81418486:1
271,PRISM001_PC3_6H:BRD-K81418486:10
272,LTC004_HME1_3H:BRD-K81418486:0.37037
273,ABY001_H1975_XH:BRD-K81418486:0.625:3
274,CPD003_MCF7_6H:BRD-K81418486-001-26-9:10
275,HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.3704
276,HOG001_A549_24H:BRD-K81418486-001-32-7:0.0045
277,HOG002_A549_24H:BRD-K81418486-001-32-7:0.0412
278,DOSBIO002_A549_24H:BRD-K81418486:0.37037
279,POL001_JURKAT_24H:O01
280,NMH001_NPC_24H:B04
281,ABY001_SKBR3_XH:BRD-K81418486:10:3
282,LTC002_HME1_24H:BRD-K81418486:0.37037
283,DTAK003_22RV1_24H:BRD-K81418486:10
284,HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.013
285,TAA001_SKNSH_24H:C23
286,CEGS001_NPC.8330_24H:C21
287,RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.3704
288,LTC001_HME1_24H:BRD-K81418486:1.1111
289,LTC001_HME1_24H:BRD-K81418486:3.3333
290,LCP001_MCF10A.WT_24H:N24
291,RAD001_A549_6H:BRD-K81418486-001-18-6:1.1111
292,LTC002_HME1_24H:BRD-K81418486:3.3333
293,HOG002_A549_6H:BRD-K81418486-001-32-7:0.0045
294,HOG001_A549_6H:BRD-K81418486-001-32-7:0.0015
295,RAD001_PC3_6H:BRD-K81418486-001-18-6:10
296,HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.1235
297,CEGS001_NPC.215_24H:C24
298,HOG001_A549_24H:BRD-K81418486-001-32-7:0.3704
299,HOG002_A549_24H:BRD-K81418486-001-32-7:1.11
300,DOSBIO001_HT29_24H:BRD-K81418486:1.11111
301,CEGS002_HIMG001_24H:C23
302,ABY001_SKBR3_XH:BRD-K81418486:0.625:24
303,HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.0390625
304,HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.0015
305,HDAC002_HA1E_24H:BRD-K81418486-001-10-3:0.625
306,HOG002_A549_6H:BRD-K81418486-001-32-7:1.11
